"","D3.NONE.1","D3.NONE.2","D3.NONE.3","D7.NONE.1","D7.NONE.2","D7.NONE.3","D11.NONE.1","D11.NONE.2","D11.NONE.3","D3.1.1","D3.1.2","D3.1.3","D7.0.1.1","D7.0.1.2","D7.0.1.3","D7.1.1","D7.1.2","D7.1.3","D7.10.1","D7.10.2","D7.10.3","D11.1.1","D11.1.2","D11.1.3"
"CDKN3",7.52689520923471,7.87049269791169,7.77041526297948,7.17544893539503,7.96228370644753,7.2379122440683,5.95192610044604,6.70550214835196,6.44509291807569,3.0537998625835,3.20924379229397,2.98283935979511,4.32603443137092,3.82224048911375,5.94902343959198,4.51681751153374,4.9352414805269,5.16351431244012,2.32686303707869,3.35139323021612,4.38862388093345,3.36239487250937,4.09622609327695,3.87606888012845
"TRIM22",8.22528201221249,8.55689160057027,8.99229211293274,8.07152438074579,9.12360201319409,8.78624112388074,8.07219247512376,8.80619745558601,8.74115792414701,6.50566844032997,6.54687448704999,6.59175683163926,6.85087478002833,6.43420361561242,7.49700641146521,6.04087981880278,6.55281305309631,6.62849411624996,5.9629158853849,6.57046478343984,6.92550870555119,5.4132144296757,7.54927333174173,7.38079609488889
"ABCA9",4.72493820982849,4.67170175048117,4.58260942029541,5.68181313062779,6.27163781429824,6.87424313583831,7.48312514091072,8.18250586003276,8.24413943633196,5.82279979854263,6.52759220639896,6.69164998009886,7.02562119462293,6.87962727882481,7.59309881618374,5.81077653634669,6.86850213768322,7.48384155905952,7.18153641357356,7.22142858733518,7.17847430484324,5.5713346834242,7.21203779014421,7.68925617479183
"ABCA8",5.24855055806344,5.10187330901813,5.07590009983052,6.61702308162883,7.13530451403483,6.60407355749972,6.7443544033994,7.45712961182826,7.18013813636427,10.3933127925453,10.2871870436904,10.5304623377647,9.78162220197311,9.21445427037504,10.146613733954,9.17040619956941,9.47825133964352,9.97897515844931,9.38314850125747,9.60314406146906,10.303155070333,9.66056147728871,10.297467921147,10.4987881005248
"KLF2",8.66590915797911,8.2992827251967,7.59811063174288,8.35710315301333,6.87816962273642,7.3554193694857,7.95228679044432,7.44185513660897,7.22526925301374,7.14672091657612,6.62244132984087,6.5960453544917,7.4280929987446,7.23730304484676,6.83624042965642,7.60516148165855,7.06103892403571,6.77060863578109,6.58180075485192,6.44200690373217,7.01880577673577,8.26164225853638,6.54544723253229,6.634485913557
"CDR1",9.59760966362075,8.80129003657219,9.19828225601917,9.7012779486835,9.08969897968197,9.25529480151523,9.90957268563259,9.84383993972542,9.0366845796978,10.925711240498,10.1182274698342,10.1146174756956,11.0597542201086,10.6522321682647,10.0734243166936,10.6295491486036,10.8228361103653,10.2920438248916,10.6035405313181,9.69456177244986,10.3170751084278,11.6667851330856,10.6904041539263,10.2387640877712
"TUBB4B",11.4395024985626,11.4740727138957,11.2343594738694,11.1742870102575,11.254743115226,10.5617265883056,10.4448517325629,10.5178518465323,10.6257183654273,9.9959206154735,10.0548468901296,9.81414557624916,10.0361747080365,9.55133833234967,10.245876313921,10.2571318988292,10.1639991538883,9.70578909636828,9.189487242311,9.23536204143217,9.87288232793987,8.44726616862698,9.38526935846089,9.5279436912829
"CORO2B",7.83270674417794,7.53114788221395,7.29627470681941,6.92850980096808,7.32291040296664,6.92524172532397,7.24452075387697,6.95287002132722,6.84120859606952,4.7365984597456,4.875212659761,4.82377952524651,5.04602888864612,5.35753685951215,5.51236135134904,5.30936716855564,5.94548178613794,5.38533531407467,5.01057108565665,4.97738943288478,4.32753055450436,5.72943766003485,4.91703831947823,5.06920081248821
"ATP8A1",2.88476038012405,2.70161770810531,3.09307202484932,3.28333830347568,2.84594684789198,3.31390368431642,3.04949065010411,2.98915100029017,2.94616288763651,4.25635577848729,5.49216785522136,5.94626259966496,5.27357558965265,5.11707010626209,5.56500313564096,4.6791392498755,4.96999518076566,5.97164596730304,5.92674185222724,6.6573913904337,6.99475626490648,3.36320608316579,7.64708325040187,7.10764355309331
"ADARB1",7.09058219454449,7.23380521679782,7.5486753741218,6.59696697771998,6.85431141911991,6.94455502428784,6.51473383930813,6.95504078931858,6.85244186572073,8.07746645587274,8.2324425450373,8.74004664633523,7.96895044613536,7.87140890633091,8.07556985266312,7.63094257526996,8.03033729310509,7.87215040713076,7.52316616878415,7.81759266636862,8.1951253178319,7.30589646999869,8.79647688144144,8.79508124012604
"NDC80",6.99538281623392,7.71418512901959,7.52991507057529,6.6593363433638,7.61569616265902,7.12225482982831,6.35887200195985,7.0435649080869,6.66221606488682,3.08821488596751,3.78223120077212,3.4641131584689,3.71114218902412,4.11479534928264,6.53282516082435,4.18249371454235,4.93420383325418,5.31435806578667,3.26445172027547,3.91850468836506,4.21168139400288,2.71777951510454,4.25730033500284,3.68681231655829
"BASP1",8.85393180089429,8.89628048215826,9.09388185914784,8.87931867658413,8.75735332411552,8.57715826480635,9.1141553771235,8.72351539943359,8.76575124254922,9.96350628569259,10.1773485082893,10.3243597059048,8.9722974096376,8.8565534360226,9.28617601365094,8.84572860931938,9.15788159537387,9.25977376519979,9.41648978117688,9.20270066033986,9.87822784659304,9.64815586249741,9.70661930749651,9.52321932315274
"MAD2L2",7.4831919446317,8.06983306217397,7.55161444222456,7.76629844559699,7.60034146606542,7.68298999903436,6.99072971012694,7.49682213393119,7.52950422553245,6.64551711505834,6.2037310447896,7.0062219770385,6.62272868778769,6.53647214203123,7.0663753622738,6.66071473914359,7.08574912481305,7.00367999223369,6.50883354812726,6.67278518779637,7.22395247405414,7.01184949417109,6.90928951766001,7.1314738395951
"TACC3",7.90459908165095,8.08337858489302,7.65898427581293,8.06726521714994,8.01332655917747,7.16481411635486,6.92405725086834,7.38032065776724,7.21283934634461,4.74071085866014,4.85682333138397,4.83277778240133,6.01268046819316,4.59700111720743,6.85692557979076,6.35330437951091,6.37143475461853,5.58760627376661,5.47095783614474,4.95457736954261,5.50447864625543,5.96086937552262,5.10133561797659,5.302048029178
"FBLN5",10.6918214292242,10.5273194468754,10.4749858249167,10.831174645309,10.5336203831204,10.9701283320487,11.1395461975548,11.0709040732906,11.2073567975736,11.6804181466984,11.8580230261016,11.3918491882852,11.5935883304597,11.2313887194517,11.5286337831527,11.7400391683385,12.0727353652818,11.1221787471992,11.3508655093969,11.1274194644803,11.5989166985046,10.9789632819672,11.4605644831809,11.6017332697109
"CEBPD",6.49860428344593,6.10179541907494,6.02261493474301,6.97009309663742,6.28970618627303,6.2566642645054,6.74702833018931,6.15126797917974,6.32864097436548,7.767097116439,7.49335884220922,6.79756247641852,6.96092721313247,6.7957165916985,6.48305476783743,7.18278707913126,7.00137821091308,6.35501137383908,7.38844738715642,6.53607505929496,7.06231613927899,8.28529345802847,6.78540768013243,6.73493103840567
"RNASEH2A",6.99307889104409,7.43557637773251,7.16327594810373,7.07680363695605,7.47734705559752,6.52977949184164,6.69824887301269,6.6357315463577,6.46207657494265,5.09986194075465,5.64579274428753,5.15279615220479,5.48850955381891,5.5678412102149,5.61345799699847,5.27895803062858,6.07410161227792,5.69163556680332,5.41495154939217,5.00087619657679,5.87733903978514,6.68429033520101,5.05758435474871,5.46893551171748
"CEBPG",8.08571835464987,8.13226804004811,7.69834046763187,6.69031600409821,6.56886016430041,8.21771143134958,7.9399873500866,8.16067001147944,8.16607831072974,6.55148357709074,6.50174284721322,6.69297650389527,6.5705088071573,6.36289490190959,6.65116752729501,6.41842463373632,6.63394285275461,6.53177200722839,6.52124914756519,6.53132541332141,6.90508532142643,5.11280572660363,6.68763214583892,6.68093856762423
"SLC19A2",5.13776601603603,4.80505498862944,4.49447552955541,4.13907940133644,4.82422552336499,4.86092784679968,3.65166014067134,4.42149894946074,4.53374710129021,5.86529255899078,6.74736552565983,6.77109017595189,6.00479195910337,4.97039048002789,6.32961365052532,5.64867077458941,6.29545057417376,5.97587940268944,5.7245250998398,6.70646131829312,6.83171825729853,4.43735602569059,6.88786135736403,6.32258439311538
