"","D3.NONE.1","D3.NONE.2","D3.NONE.3","D7.NONE.1","D7.NONE.2","D7.NONE.3","D11.NONE.1","D11.NONE.2","D11.NONE.3","D3.1.1","D3.1.2","D3.1.3","D7.0.1.1","D7.0.1.2","D7.0.1.3","D7.1.1","D7.1.2","D7.1.3","D7.10.1","D7.10.2","D7.10.3","D11.1.1","D11.1.2","D11.1.3"
"TC1100008553.hg.1",3.97988253776333,4.16302515276835,4.49550496015483,3.58102443118064,4.799436843867,4.79992528553689,3.77989963231702,4.57796847704101,4.56029156880559,3.8035833266559,3.97855822303448,4.3881311826106,3.98753426095494,4.45159214845644,3.97822878544858,3.82105877657502,4.38693354674503,3.99431987923376,3.13850688243809,4.05351870308674,4.37436954015836,3.64662561482754,4.5741177927705,4.43151062675647
"TC0200016667.hg.1",7.27066260747065,8.0623336015558,7.66717055110659,6.38994106568883,8.22508512761989,8.05038182266845,7.83820917245102,8.2405264252976,8.22593428359012,7.32968268321025,7.81072202669797,7.89443611862265,7.66273246084909,7.23022912119583,8.25278737478364,7.27957364297576,7.82492258477809,8.08884251029063,7.02285487361626,7.7316479975796,8.26347257578515,6.24701521124344,8.2799792324957,8.29029023792266
"TC0300007454.hg.1",6.77057547007595,7.24655370042147,7.23803607614547,7.00538770750115,7.12730548236907,6.72798590617885,6.77186668867975,6.75691371243809,6.57389331617841,6.56959223009131,6.19596326529062,6.23119325185762,5.66586782401489,6.32023389998564,6.23574593623571,5.44505919189685,6.00438859800058,5.54702913745994,5.90538494298759,5.93318347754954,6.41733165463504,6.42059743534275,5.98016046614274,5.91498761100413
"TC0500007044.hg.1",8.95308237933622,9.00399954765531,8.98102034754755,8.36383674912063,8.85558360945781,8.43161240310321,8.37186688307117,8.38421739711186,8.32445300673719,7.25369147104891,7.16221374325301,6.97772081611333,7.32719534235916,7.31851535198838,8.30102535009189,7.92751432829305,8.27023755747961,7.68626194469809,6.06740716556222,5.86823236007284,6.62354339585893,5.72970344835742,7.53996863975613,7.18483075911272
"TC1700008326.hg.1",5.40742108411595,6.03498517938986,6.45914448726537,6.18096711660953,6.74296284874994,6.29567986890932,5.13242583180454,5.73341930381538,5.74965458499425,6.20394539562028,5.94788365949783,6.28356242941679,5.09826031123223,5.15752750634872,5.95741373816783,5.57996930373349,5.50050340655855,5.84438177524077,5.01588325084493,5.19713113472034,5.60043577933757,6.05787614592374,6.33286080689121,5.92828673541671
"TC1500010731.hg.1",6.44674994329441,6.66786985552585,6.84173726441902,6.52566123460998,7.15583475431964,6.37544424785266,6.65121784018966,6.5610584115348,6.88950665036711,6.07844158226057,5.67623271540776,6.11662948422508,5.75560406060847,5.87734622249192,6.17966901647394,5.96625337037028,5.79940609869561,6.1429973051703,5.69219584939239,5.87770681428451,6.1474948398724,5.89072467166436,6.18204412078195,6.15858253559074
"TC2200007196.hg.1",8.48292373239385,8.3165348612309,8.4086642779288,8.93191490046494,8.56915818125731,8.4713655142384,8.98070443879541,8.62193538759291,8.65701948230563,9.35180147558298,9.23533338443411,9.33039111051282,9.13064180167497,9.01511066396253,9.1746692117486,9.22893470525592,9.23887268305593,8.85059395098844,9.33663083970979,8.81153547796008,9.32964616795307,9.96054982276871,9.33018066793218,9.253512361412
"TC0X00008712.hg.1",7.40623502182642,7.5296260441005,7.3351730423917,7.13345918347626,7.46764908322833,8.07165554837347,7.67847931503777,8.09805844141778,7.94641949475379,8.05790513226327,8.0502750304016,7.58530687700977,6.54002212308049,6.3072271884339,6.93281316205166,6.16425977597985,5.8505142645225,6.38755350429825,7.13596657847661,6.62001463119698,7.06501270717035,5.888178998456,7.36987334701493,7.08014962101583
"TC0600008379.hg.1",9.84057215587907,9.17409030480411,9.05942455535878,9.62436177251987,8.88123605440192,9.26263799387028,9.26965642625351,9.02684454381658,8.67815278217424,9.68403660511046,8.73759378347046,9.13384677021604,9.87700954367797,9.56612019445092,8.97347580613207,9.62408048239913,8.84570552087819,8.9363645710921,9.16303890916496,8.35225571371605,9.5614135712148,10.0355641054601,9.21803791287941,9.28255820372521
"TC2000006964.hg.1",3.24353502456186,4.20405499415472,3.75708366064415,3.9736310325758,3.20905030373789,3.78242560761958,3.44030906394251,3.40133714936085,3.806677094768,3.95310347882737,3.6213762447957,3.04467881540271,4.23525276233054,4.21895888768729,3.45074168841844,3.27979063903677,4.10510505956331,4.25618784832666,3.9913568992552,3.79287511426254,3.1375312541477,4.13138947189812,3.24780655881643,3.39118989346114
